TIME,Total_I,Total_U,MPPT1_Uin,MPPT1_Iin,MPPT1_Iout,MPPT2_Uin,MPPT2_Iin,MPPT2_Iout,BATTERY1_U,BATTERY1_I,BATTERY2_U,BATTERY2_I,UV_U_3V3,UV_I,POBC_I_5V,XMIT_A_12V,XMIT_B_12V,I_Atlas200DK-A,I_Atlas200DK-B,I_Pi-A,I_Pi-B,ATLAS_A_TEMP,ATLAS_B_TEMP,PI_A_TEMP,TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1688874332,1383.0,15917.0,12400.0,260.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,18.0,12.8,31.0,0.0,0.0,15.0,0.0,-1.0,-1.0
1688874333,1172.0,15932.0,12400.0,260.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,7.0,4.0,18.0,12.8,31.0,0.0,0.0,19.0,0.0,-1.0,-1.0
1688874334,1388.0,15917.0,12400.0,270.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,18.0,12.8,31.0,0.0,0.0,14.5,0.0,-1.0,-1.0
1688874335,1223.0,15927.0,12400.0,270.0,1400.0,12000.0,1990.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,18.0,12.8,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0
1688874336,1400.0,15917.0,12400.0,270.0,1400.0,12000.0,1990.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,8.0,4.0,18.0,12.8,31.0,0.0,0.0,24.0,0.0,-1.0,-1.0
1688874337,1194.0,15927.0,12400.0,270.0,1400.0,12000.0,1990.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,4.0,8.0,4.0,18.0,12.8,31.0,0.0,0.0,7.0,0.0,-1.0,-1.0
1688874338,1357.0,15917.0,12400.0,270.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,18.0,12.8,31.0,0.0,0.0,21.0,0.0,-1.0,-1.0
1688874339,1225.0,15927.0,12400.0,270.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,18.0,12.8,31.0,0.0,0.0,10.0,0.0,-1.0,-1.0
1688874340,1397.0,15922.0,12400.0,270.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,8.0,4.0,18.0,12.8,31.0,0.0,0.0,16.0,0.0,-1.0,-1.0
1688874341,1178.0,15927.0,12400.0,270.0,1400.0,12000.0,2010.0,860.0,15800.0,-180.0,15800.0,-180.0,3300.0,140.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,4.0,8.0,4.0,18.0,12.8,31.0,0.0,0.0,14.0,0.0,-1.0,-1.0
