TIME,POWER,TEMP,ATLAS_B_TEMP
20.40833333333333,8.42402,33.72,16.0
20.425,8.419179999999999,33.73,16.0
20.475,8.41676,33.76,16.0
20.491666666666664,8.41676,33.77,16.0
20.541666666666664,8.35868,33.8,16.0
20.558333333333334,8.356259999999999,33.8,16.0
20.608333333333334,8.351420000000001,33.825,16.0
20.625,8.348999999999998,33.835,16.0
20.675,8.37804,33.825,16.0
20.69166666666667,8.37804,33.825,16.0
20.741666666666664,8.37804,33.82,16.0
20.758333333333336,8.322379999999999,33.81,16.0
20.80833333333333,8.322379999999999,33.785,16.0
20.825,8.27882,33.785,16.0
20.875,8.27882,33.765,16.0
20.89166666666667,8.27882,33.76,16.0
20.94166666666667,8.31512,33.76,16.0
20.958333333333336,8.31512,33.765,16.0
21.008333333333336,8.28124,33.775,16.0
21.025,8.3248,33.78,16.0
21.075,8.32722,33.8,16.0
21.091666666666665,8.32964,33.81,16.0
21.14166666666667,8.33448,33.82,16.0
21.158333333333335,8.33932,33.82,16.0
21.208333333333336,8.351420000000001,33.82,16.0
21.225,8.351420000000001,33.82,16.0
21.275,8.39014,33.83,16.0
21.291666666666664,8.39014,33.83,16.0
21.341666666666665,8.39014,33.83,16.0
21.35833333333333,8.39014,33.83,16.0
21.408333333333335,8.39014,33.83,16.0
21.425,8.39014,33.83,16.0
21.475,8.39014,33.83,16.0
21.491666666666664,8.39014,33.83,16.0
21.541666666666664,8.34174,33.83,16.0
21.55833333333333,8.34174,33.83,16.0
21.60833333333333,8.34174,33.83,16.0
21.625,8.38046,33.83,16.0
21.675,8.38046,33.83,16.0
21.69166666666667,8.41676,33.83,16.0
21.741666666666664,8.38288,33.83,16.0
21.758333333333336,8.385299999999999,33.83,16.0
21.80833333333333,8.41676,33.83,16.0
21.825,8.419179999999999,33.83,16.0
21.875,8.41676,33.83,16.0
21.89166666666667,8.469999999999999,33.83,16.0
21.94166666666667,8.47242,33.83,16.0
21.958333333333336,8.47242,33.83,16.0
22.008333333333336,8.47242,33.83,16.0
22.025,8.52808,33.83,16.0
22.075,8.4942,33.83,16.0
22.091666666666665,8.54744,33.83,16.0
22.14166666666667,8.545020000000001,33.83,16.0
22.158333333333335,8.545020000000001,33.83,16.0
22.208333333333336,8.545020000000001,33.83,16.0
22.225,8.545020000000001,33.83,16.0
22.275,8.4942,33.83,16.0
22.291666666666664,8.4942,33.83,16.0
22.341666666666665,8.51114,33.84,16.0
22.35833333333333,8.51356,33.85,16.0
22.408333333333335,8.51356,33.885,16.0
22.425,8.515979999999999,33.905,16.0
22.475,8.51356,33.945,16.0
22.491666666666664,8.51356,33.955,16.0
22.541666666666664,8.51356,33.985,16.0
22.55833333333333,8.515979999999999,33.99,16.0
22.60833333333333,8.515979999999999,34.0,16.0
22.625,8.5305,34.0,16.0
22.675,8.50146,34.0,16.0
22.69166666666667,8.53292,34.01,16.0
22.741666666666664,8.53292,34.015,16.0
22.758333333333336,8.53292,34.015,16.0
22.80833333333333,8.53534,34.015,16.0
22.825,8.52324,34.015,16.0
22.875,8.52566,34.015,16.0
22.89166666666667,8.53292,34.015,16.0
22.94166666666667,8.58616,34.015,16.0
22.958333333333336,8.63214,34.025,16.0
23.008333333333336,8.63214,34.025,16.0
23.025,8.59584,34.025,16.0
23.075,8.59342,34.025,16.0
23.091666666666665,8.58858,34.025,16.0
23.14166666666667,8.54744,34.025,16.0
23.158333333333335,8.545020000000001,34.025,16.0
23.208333333333336,8.545020000000001,34.025,16.0
23.225,8.51114,34.03,16.0
23.275,8.51356,34.055,16.0
23.291666666666664,8.51356,34.055,16.0
23.341666666666665,8.50872,34.055,16.0
23.35833333333333,8.5063,34.045,16.0
23.408333333333335,8.503879999999999,34.015,16.0
23.425,8.46758,34.005,16.0
23.475,8.46516,33.975,16.0
23.491666666666664,8.41676,33.965,16.0
23.541666666666664,8.453059999999999,33.945,16.0
23.55833333333333,8.45064,33.945,16.0
23.60833333333333,8.48452,33.945,16.0
23.625,8.52082,33.945,16.0
23.675,8.557120000000001,33.945,16.0
23.69166666666667,8.55954,33.945,16.0
23.741666666666664,8.56196,33.945,16.0
23.758333333333336,8.566799999999999,33.945,16.0
23.80833333333333,8.57406,33.945,16.0
23.825,8.57164,33.945,16.0
23.875,8.60794,33.945,16.0
23.89166666666667,8.60794,33.945,16.0
23.94166666666667,8.60794,33.945,16.0
23.958333333333336,8.60794,33.945,16.0
24.008333333333336,8.578899999999999,33.945,16.0
24.025,8.578899999999999,33.945,16.0
24.075,8.53534,33.945,17.0
24.091666666666665,8.53534,33.945,17.0
24.14166666666667,8.56922,33.945,17.0
24.158333333333335,8.56922,33.945,17.0
24.208333333333336,8.56922,33.945,17.0
24.225,8.566799999999999,33.945,17.0
24.275,8.5305,33.945,17.0
24.291666666666664,8.5305,33.945,17.0
24.341666666666665,8.53292,33.945,17.0
24.35833333333333,8.4942,33.945,17.0
24.408333333333335,8.50146,33.94,17.0
24.425,8.503879999999999,33.95,17.0
24.475,8.503879999999999,33.95,17.0
24.491666666666664,8.49904,33.95,17.0
24.541666666666664,8.48936,33.965,17.0
24.55833333333333,8.48694,33.965,17.0
24.60833333333333,8.448220000000001,33.965,17.0
24.625,8.448220000000001,33.955,17.0
24.675,8.445799999999998,33.965,17.0
24.69166666666667,8.448220000000001,33.975,17.0
24.741666666666664,8.448220000000001,34.005,17.0
24.758333333333336,8.482099999999999,34.01,17.0
24.80833333333333,8.482099999999999,34.02,17.0
24.825,8.51356,34.025,17.0
24.875,8.515979999999999,34.035,17.0
24.89166666666667,8.5184,34.04,17.0
24.94166666666667,8.5184,34.035,17.0
24.958333333333336,8.52082,34.045,17.0
25.008333333333336,8.52324,34.075,17.0
25.025,8.48694,34.085,17.0
25.075,8.50146,34.145,17.0
25.091666666666665,8.49662,34.165,17.0
25.14166666666667,8.46758,34.225,17.0
