TIME,Main(mA),Main Voltage(V),FREQUENCY(48),VOLT,TEMP,INDEX,SUCCESS
1689538310,1036.834370471331,5.483454081632654,1800457088.0,0.936,61.3,13.0,1.0
1689538311,1034.2083745360333,5.482305,1800457088.0,0.936,61.8,13.0,1.0
1689538312,1016.4362103078162,5.482911764705883,1800457088.0,0.936,61.3,13.0,1.0
1689538313,1044.3675203499945,5.481908163265307,1800457088.0,0.936,61.8,13.0,1.0
1689538314,1032.041713804014,5.482965000000002,1800457088.0,0.936,61.8,13.0,1.0
1689538315,1019.8834126196608,5.483790816326531,1800404352.0,0.936,61.3,13.0,1.0
1689538316,1001.402349492822,5.485088235294116,1800404352.0,0.936,61.8,13.0,1.0
1689538317,965.6883356251628,5.483855000000002,1800404352.0,0.936,62.3,13.0,1.0
1689538318,1032.6086499040264,5.483160000000001,1800404352.0,0.936,61.3,0.0,-1.0
1689538319,1038.310364629767,5.482852040816326,1800457088.0,0.936,62.3,14.0,1.0
1689538320,1029.207137147367,5.48271568627451,1800404352.0,0.936,62.3,14.0,1.0
