TIME,I_Atlas200DK-B,Main Voltage(V),TEMP,POWER,MEM,AICORE,AICPU,CTRLCPU,MEM_BDWIDTH,INDEX,SUCCESS
1692237156,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237157,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237158,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237159,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237160,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237161,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237162,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237163,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237164,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237165,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237166,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.6,0.0,-1.0,-1.0
1692237167,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237168,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237169,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237170,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237171,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237172,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237173,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237174,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237175,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237176,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237177,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237178,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237179,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237180,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237181,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
1692237182,-1.0,-1.0,38.1,12.8,32.0,0.0,0.0,7.5,0.0,-1.0,-1.0
